***  Récepteur: 1.17, Outil: 5.2.0.6, Mode: ORG, Freq: 2 Hz, GPS: Raid, Véhicule: 2, Course: 8, CHK: NOK  ***
InfosControle
Concurrent;   23
No série; 5122
Course; E1K0 
Code1 entrés; 2982
Code2 entrés; 
CHK; NOK
CP non passés; 20
Asc non passés; 0
Discontinuités; 0
Excès vit.village; 24
Excès vit.globale; 0
Nb Wpts démasqués; 0
Cps non passés; 19; 20; 21; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35
Dépassements vitesse; 15+ : 54; 15+ : 53; 15+ : 47; 15+ : 47; 22+ : 81; 22+ : 81; 22+ : 81; 22+ : 81; 22+ : 82; 22+ : 82; 22+ : 82; 22+ : 81; 22+ : 83; 22+ : 83; 22+ : 82; 22+ : 81
 
InfosChronos
DateHeure: 6/4/13;18:05:15;TPC;NumWpt: 18;TempsPassage: 180;;
DateHeure: 6/4/13;23:06:12;TPC;NumWpt: 39;TempsPassage: 250;;

<FIN>
